1.0	1.0	1.0	0.04	1.0	0.01	0.07	1.0	0.02	1.0	0.02	1.0	1.0	1.0	1.0	0.02	1.0	1.0	1.0	1.0	
0.13	1.0	0.15	0.14	0.0	1.0	0.01	0.0	0.03	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.21	0.0	0.02	0.0	0.06	1.0	0.0	0.03	1.0	0.01	1.0	0.05	0.06	1.0	0.01	0.05	1.0	1.0	0.03	1.0	
0.15	1.0	0.0	1.0	0.0	0.01	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	
0.0	0.08	1.0	1.0	0.01	0.04	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.27	0.25	0.0	1.0	1.0	0.11	1.0	0.0	0.04	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.04	
0.11	0.04	1.0	0.08	0.08	1.0	0.0	1.0	1.0	1.0	1.0	0.04	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.0	1.0	0.01	1.0	0.12	1.0	0.03	0.0	1.0	0.12	0.0	1.0	0.0	1.0	0.03	1.0	1.0	1.0	1.0	1.0	
0.03	1.0	0.0	0.02	1.0	0.02	1.0	0.02	1.0	0.0	0.09	0.05	1.0	1.0	0.02	1.0	1.0	0.09	0.02	1.0	
0.48	0.17	0.0	0.21	0.0	1.0	1.0	0.05	1.0	1.0	1.0	0.01	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	
0.14	0.1	0.0	0.01	1.0	0.04	0.0	1.0	1.0	0.05	0.01	1.0	0.0	1.0	0.03	1.0	1.0	1.0	1.0	1.0	
0.18	0.0	0.0	0.0	0.02	1.0	0.06	1.0	1.0	0.0	0.06	0.03	0.02	1.0	1.0	1.0	1.0	0.06	1.0	1.0	
0.05	1.0	0.06	1.0	0.0	1.0	0.03	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.16	0.22	0.0	1.0	0.0	0.01	1.0	1.0	0.08	1.0	1.0	1.0	1.0	0.02	1.0	1.0	1.0	1.0	1.0	1.0	
0.19	1.0	0.04	0.05	1.0	0.01	1.0	1.0	0.02	0.01	1.0	0.02	1.0	0.0	1.0	0.02	1.0	1.0	1.0	1.0	
0.0	0.12	0.01	1.0	1.0	0.13	1.0	0.06	0.0	1.0	1.0	1.0	1.0	1.0	0.08	0.0	1.0	1.0	0.0	1.0	
0.07	0.07	0.07	0.0	0.03	0.0	1.0	0.0	0.09	1.0	1.0	0.04	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
0.09	0.1	0.04	0.03	0.0	1.0	0.0	0.01	1.0	1.0	1.0	1.0	0.04	1.0	0.04	1.0	1.0	0.0	1.0	1.0	
0.09	0.03	0.07	0.02	1.0	0.0	0.0	1.0	0.08	0.0	1.0	0.03	1.0	1.0	0.09	1.0	1.0	0.04	0.03	1.0	
